epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3507,3.01718,4.47723,2.84616,0.24073,0.05697,0.0302,0.01707,3.23324,3.81394,3.03499,4.444e-05,4.444e-05,4.444e-05
2,20.5518,2.88415,4.10211,2.69933,0.52922,0.2155,0.19997,0.10876,2.19536,3.4699,2.39774,9.0091e-05,9.0091e-05,9.0091e-05
3,23.9673,2.13196,2.62928,1.95609,0.38663,0.54301,0.31487,0.17888,2.08381,3.76407,2.08809,0.000124743,0.000124743,0.000124743
4,27.1198,1.8469,1.95399,1.76883,0.43208,0.43411,0.32919,0.20895,1.72079,3.8299,1.86258,0.000148396,0.000148396,0.000148396
5,30.2099,1.76765,1.75322,1.75222,0.55769,0.51523,0.50773,0.29939,1.79281,1.80786,1.85653,0.000161051,0.000161051,0.000161051
6,33.0098,1.70816,1.60161,1.69465,0.54354,0.54151,0.47843,0.27565,1.68557,1.81999,1.87946,0.000162706,0.000162706,0.000162706
7,35.7924,1.67207,1.54178,1.61853,0.81264,0.46322,0.57155,0.33167,1.62542,1.9724,1.71386,0.000153362,0.000153362,0.000153362
8,38.6246,1.61447,1.45332,1.57874,0.71582,0.58944,0.65663,0.38017,1.61141,1.59829,1.6755,0.00013302,0.00013302,0.00013302
9,41.5379,1.48456,1.31318,1.54263,0.70761,0.58038,0.65103,0.3877,1.54003,1.4503,1.6187,0.000101679,0.000101679,0.000101679
10,44.5447,1.50482,1.28604,1.5034,0.73201,0.62499,0.67874,0.39786,1.55251,1.4092,1.60084,5.93385e-05,5.93385e-05,5.93385e-05
