epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.942,1.21763,0.99752,1.35155,0.67486,0.58851,0.62675,0.36878,1.57932,1.13036,1.89441,0.000810363,0.000810363,0.000810363
43,128.532,1.25038,0.99592,1.32597,0.59177,0.6803,0.64732,0.3937,1.53616,1.1135,1.84498,0.000803031,0.000803031,0.000803031
44,131.24,1.24924,0.97456,1.35668,0.75932,0.5715,0.65699,0.37185,1.83243,1.33869,2.03942,0.000795698,0.000795698,0.000795698
45,134.131,1.23792,1.00047,1.32453,0.66814,0.66242,0.69505,0.37919,1.75106,1.2583,1.99895,0.000788366,0.000788366,0.000788366
46,136.752,1.24109,1.01623,1.35741,0.65557,0.67337,0.66941,0.39197,1.58302,1.1615,1.88071,0.000781033,0.000781033,0.000781033
47,139.278,1.26648,1.02283,1.37457,0.68221,0.73874,0.68459,0.39809,1.52362,1.08851,1.83589,0.0007737,0.0007737,0.0007737
48,142.044,1.19782,0.97684,1.32552,0.61479,0.66428,0.59771,0.33433,1.78643,1.21933,2.03173,0.000766368,0.000766368,0.000766368
49,144.646,1.16741,0.95901,1.3194,0.67852,0.65613,0.66818,0.37496,1.5699,1.15936,1.8735,0.000759035,0.000759035,0.000759035
50,147.281,1.21589,0.93838,1.32218,0.69673,0.68333,0.68839,0.40175,1.48904,1.09392,1.79533,0.000751703,0.000751703,0.000751703
51,149.945,1.18714,0.94578,1.29686,0.69523,0.6881,0.68712,0.38395,1.64595,1.14261,1.89379,0.00074437,0.00074437,0.00074437
52,152.704,1.19421,0.97031,1.30748,0.69679,0.66141,0.65357,0.38737,1.56686,1.09295,1.813,0.000737037,0.000737037,0.000737037
53,155.436,1.21423,0.96722,1.29152,0.57629,0.68932,0.61059,0.34553,1.65635,1.14595,1.85553,0.000729705,0.000729705,0.000729705
54,158.056,1.15767,0.95105,1.2889,0.53288,0.65089,0.59774,0.31842,1.67965,1.18072,1.87634,0.000722372,0.000722372,0.000722372
55,160.701,1.15639,0.9597,1.28911,0.56803,0.66325,0.63315,0.35422,1.60912,1.15734,1.83137,0.00071504,0.00071504,0.00071504
56,163.506,1.10964,0.93355,1.25427,0.57545,0.66022,0.64897,0.38173,1.52537,1.06886,1.77166,0.000707707,0.000707707,0.000707707
57,166.168,1.18815,0.92108,1.3026,0.63531,0.70368,0.6735,0.41063,1.43013,0.98607,1.71723,0.000700374,0.000700374,0.000700374
58,168.932,1.18187,0.94054,1.28571,0.72105,0.73947,0.7116,0.41666,1.45458,0.95781,1.74313,0.000693042,0.000693042,0.000693042
59,171.618,1.1921,0.93552,1.26093,0.77228,0.70339,0.71075,0.40714,1.59318,1.0115,1.81205,0.000685709,0.000685709,0.000685709
60,174.258,1.14525,0.89255,1.24832,0.66066,0.6693,0.66442,0.41076,1.49476,1.03579,1.74588,0.000678377,0.000678377,0.000678377
61,176.953,1.12644,0.86926,1.25433,0.62544,0.66158,0.65758,0.41526,1.52077,1.04704,1.7409,0.000671044,0.000671044,0.000671044
62,179.597,1.13942,0.87975,1.27471,0.7337,0.64815,0.70856,0.4224,1.46651,1.01544,1.70931,0.000663711,0.000663711,0.000663711
63,182.228,1.1382,0.91257,1.28899,0.65567,0.67553,0.67996,0.41532,1.47542,1.00456,1.74473,0.000656379,0.000656379,0.000656379
64,184.845,1.14209,0.88434,1.24978,0.68023,0.71265,0.69955,0.42185,1.44111,0.94976,1.71443,0.000649046,0.000649046,0.000649046
65,187.574,1.14045,0.91385,1.2695,0.67723,0.6821,0.70244,0.38816,1.54296,1.02575,1.75529,0.000641714,0.000641714,0.000641714
66,190.165,1.11108,0.88175,1.26343,0.53905,0.71619,0.66332,0.36701,1.61757,1.08337,1.80798,0.000634381,0.000634381,0.000634381
67,192.887,1.11899,0.88532,1.25604,0.65313,0.60692,0.68762,0.39517,1.55533,1.06386,1.75386,0.000627048,0.000627048,0.000627048
68,195.593,1.07078,0.86526,1.23026,0.62036,0.70592,0.6914,0.41357,1.44984,1.02082,1.68932,0.000619716,0.000619716,0.000619716
69,198.277,1.10273,0.86756,1.24185,0.69872,0.71594,0.71426,0.42696,1.3984,0.9543,1.64102,0.000612383,0.000612383,0.000612383
70,200.871,1.13008,0.8803,1.25421,0.68549,0.73935,0.71721,0.42513,1.40315,0.92392,1.62797,0.000605051,0.000605051,0.000605051
71,203.543,1.15334,0.88537,1.26139,0.70241,0.71157,0.71357,0.41788,1.43931,0.96667,1.67086,0.000597718,0.000597718,0.000597718
